old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
0,0,1,0,0.2,0,0.4,0.2,0.2,220,3,81,-68,0,0,1,0
0,0,1,0,0.166666667,0,0.166666667,0.5,0.166666667,108,3,141,-68,0,0,1,0
0,0,1,0,0.166666667,0,0.166666667,0.5,0.166666667,20,3,17,-68,0,0,0,1
0,0,0,1,0.333333333,0,0.333333333,0,0.333333333,20,3,17,-56,0,0,0,1
0,0,0,1,0.333333333,0,0.333333333,0,0.333333333,20,3,17,-56,0,0,0,0
0,0,0,0,0.25,0,0.25,0.25,0.25,20,3,17,-158,1,0,0,0
1,0,0,0,0,0,0.2,0.6,0.2,4,3,17,-66,0,0,0,0
0,0,0,0,0,0,0.4,0.6,0,4,3,17,-66,0,0,0,1
0,0,0,1,0.166666667,0,0.5,0.166666667,0.166666667,220,3,17,-57,0,0,0,1
0,0,0,1,0.25,0,0.75,0,0,120,3,17,-53,0,0,0,0
0,0,0,0,0.2,0,0.6,0.2,0,20,3,17,-183,0,0,1,0
0,0,1,0,0.166666667,0.166666667,0,0.166666667,0.5,20,219,1,-71,0,0,1,0
0,0,1,0,0.142857143,0.428571429,0,0.142857143,0.285714286,20,79,1,-71,0,0,0,0
0,0,0,0,0.166666667,0.666666667,0,0.166666667,0,20,19,1,-71,0,1,0,0
0,1,0,0,0.166666667,0.5,0,0.166666667,0.166666667,20,31,1,-71,0,1,0,0
0,1,0,0,0.166666667,0.333333333,0,0.166666667,0.333333333,20,3,1,-71,0,1,0,0
0,1,0,0,0.2,0.2,0,0.2,0.4,20,243,1,-71,0,0,0,0
0,0,0,0,0.2,0.4,0,0.2,0.2,20,83,1,-71,1,0,0,0
1,0,0,0,0,0.333333333,0,0.166666667,0.5,4,19,1,-71,0,0,0,0
0,0,0,0,0,0.5,0,0.5,0,4,19,1,-71,0,1,0,0
0,1,0,0,0,0,0,0.666666667,0.333333333,4,3,1,-71,0,1,0,0
